Loaded Arguments:
config_file             : config.ini
experiment              : pcam_bnn_1
task                    : bnn
seed                    : 1111
verbose                 : True
log_dir                 : Logs
log_interval            : 10
tensorboard_dir         : Tensorboard
dataset                 : pcam
dataset_dir             : ../../Datasets/pcam
val_split               : 0.2
test_split              : 0.2
image_x                 : 96
image_y                 : 96
square_image            : True
augmentation            : True
data_workers            : 4
use_gpu                 : True
precision               : 16
efficient_net           : 7
model_dir               : Models
epochs                  : 20
batch_size              : 64
minimum_lr              : 1e-05
maximum_lr              : 0.1
label_smoothing         : 0.0
focal_loss              : False
focal_alpha             : 0.25
focal_gamma             : 2.0
training_samples        : 10
batches_per_epoch       : 0


Set Random Seed to 1111
Device set to cuda:0

Loader Datasets

Model Initialised
Time: 000572s	Train Epoch: 01 [023040/235930] (10%)	Loss: 768.579979	Cross Entropy: 0.5085	ELBO: 768.0715	Accuracy: 0.784288
Time: 000588s	Train Epoch: 01 [023680/235930] (10%)	Loss: 747.815439	Cross Entropy: 0.5027	ELBO: 747.3128	Accuracy: 0.786824
Time: 000604s	Train Epoch: 01 [024320/235930] (10%)	Loss: 728.144333	Cross Entropy: 0.4977	ELBO: 727.6467	Accuracy: 0.788980
Time: 000620s	Train Epoch: 01 [024960/235930] (11%)	Loss: 709.481550	Cross Entropy: 0.4925	ELBO: 708.9891	Accuracy: 0.791386
Time: 000635s	Train Epoch: 01 [025600/235930] (11%)	Loss: 691.751136	Cross Entropy: 0.4868	ELBO: 691.2643	Accuracy: 0.794063
Time: 000651s	Train Epoch: 01 [026240/235930] (11%)	Loss: 674.885782	Cross Entropy: 0.4816	ELBO: 674.4042	Accuracy: 0.796227
Time: 000667s	Train Epoch: 01 [026880/235930] (11%)	Loss: 658.823836	Cross Entropy: 0.4769	ELBO: 658.3470	Accuracy: 0.798251
Time: 000683s	Train Epoch: 01 [027520/235930] (12%)	Loss: 643.509083	Cross Entropy: 0.4725	ELBO: 643.0366	Accuracy: 0.800363
Time: 000699s	Train Epoch: 01 [028160/235930] (12%)	Loss: 628.890191	Cross Entropy: 0.4681	ELBO: 628.4221	Accuracy: 0.802379
Time: 000715s	Train Epoch: 01 [028800/235930] (12%)	Loss: 614.921222	Cross Entropy: 0.4640	ELBO: 614.4572	Accuracy: 0.804063
Time: 000731s	Train Epoch: 01 [029440/235930] (12%)	Loss: 601.559619	Cross Entropy: 0.4602	ELBO: 601.0994	Accuracy: 0.806080
Time: 000747s	Train Epoch: 01 [030080/235930] (13%)	Loss: 588.766132	Cross Entropy: 0.4561	ELBO: 588.3101	Accuracy: 0.807746
Time: 000763s	Train Epoch: 01 [030720/235930] (13%)	Loss: 576.505217	Cross Entropy: 0.4516	ELBO: 576.0536	Accuracy: 0.809505
Time: 000778s	Train Epoch: 01 [031360/235930] (13%)	Loss: 564.745564	Cross Entropy: 0.4482	ELBO: 564.2974	Accuracy: 0.811065
Time: 000794s	Train Epoch: 01 [032000/235930] (14%)	Loss: 553.455852	Cross Entropy: 0.4444	ELBO: 553.0115	Accuracy: 0.812750
Time: 000810s	Train Epoch: 01 [032640/235930] (14%)	Loss: 542.609827	Cross Entropy: 0.4417	ELBO: 542.1681	Accuracy: 0.813879
Time: 000826s	Train Epoch: 01 [033280/235930] (14%)	Loss: 532.180000	Cross Entropy: 0.4382	ELBO: 531.7418	Accuracy: 0.815505
Time: 000842s	Train Epoch: 01 [033920/235930] (14%)	Loss: 522.143783	Cross Entropy: 0.4349	ELBO: 521.7089	Accuracy: 0.816745
Time: 000858s	Train Epoch: 01 [034560/235930] (15%)	Loss: 512.479616	Cross Entropy: 0.4320	ELBO: 512.0476	Accuracy: 0.818113
Time: 000873s	Train Epoch: 01 [035200/235930] (15%)	Loss: 503.167055	Cross Entropy: 0.4294	ELBO: 502.7377	Accuracy: 0.818920
Time: 000889s	Train Epoch: 01 [035840/235930] (15%)	Loss: 494.186565	Cross Entropy: 0.4263	ELBO: 493.7602	Accuracy: 0.820229
Time: 000905s	Train Epoch: 01 [036480/235930] (15%)	Loss: 485.521195	Cross Entropy: 0.4234	ELBO: 485.0978	Accuracy: 0.821656
Time: 000921s	Train Epoch: 01 [037120/235930] (16%)	Loss: 477.154349	Cross Entropy: 0.4203	ELBO: 476.7340	Accuracy: 0.823060
Time: 000937s	Train Epoch: 01 [037760/235930] (16%)	Loss: 469.070834	Cross Entropy: 0.4171	ELBO: 468.6538	Accuracy: 0.824417
Time: 000953s	Train Epoch: 01 [038400/235930] (16%)	Loss: 461.256896	Cross Entropy: 0.4140	ELBO: 460.8429	Accuracy: 0.825677
Time: 000969s	Train Epoch: 01 [039040/235930] (17%)	Loss: 453.699369	Cross Entropy: 0.4113	ELBO: 453.2881	Accuracy: 0.826870
Time: 000985s	Train Epoch: 01 [039680/235930] (17%)	Loss: 446.386068	Cross Entropy: 0.4091	ELBO: 445.9770	Accuracy: 0.827797
