Loaded Arguments:
config_file             : config.ini
experiment              : pcam_bnn_1
task                    : bnn
seed                    : 1111
verbose                 : True
log_dir                 : Logs
log_interval            : 10
tensorboard_dir         : Tensorboard
dataset                 : pcam
dataset_dir             : ../../Datasets/pcam
val_split               : 0.2
test_split              : 0.2
image_x                 : 96
image_y                 : 96
square_image            : True
augmentation            : True
data_workers            : 4
use_gpu                 : True
precision               : 16
efficient_net           : 7
model_dir               : Models
epochs                  : 20
batch_size              : 64
minimum_lr              : 1e-05
maximum_lr              : 0.1
label_smoothing         : 0.0
focal_loss              : False
focal_alpha             : 0.25
focal_gamma             : 2.0
training_samples        : 10
batches_per_epoch       : 0


Set Random Seed to 1111
Device set to cuda:0

Loader Datasets

Model Initialised
Time: 025020s	Train Epoch: 04 [204800/235930] (87%)	Loss: 86.363391	Cross Entropy: 0.0661	ELBO: 86.2973	Accuracy: 0.977554
Time: 025036s	Train Epoch: 04 [205440/235930] (87%)	Loss: 86.094474	Cross Entropy: 0.0660	ELBO: 86.0284	Accuracy: 0.977570
Time: 025052s	Train Epoch: 04 [206080/235930] (87%)	Loss: 85.827318	Cross Entropy: 0.0661	ELBO: 85.7613	Accuracy: 0.977567
Time: 025068s	Train Epoch: 04 [206720/235930] (88%)	Loss: 85.561801	Cross Entropy: 0.0661	ELBO: 85.4957	Accuracy: 0.977574
Time: 025084s	Train Epoch: 04 [207360/235930] (88%)	Loss: 85.297938	Cross Entropy: 0.0661	ELBO: 85.2319	Accuracy: 0.977570
Time: 025100s	Train Epoch: 04 [208000/235930] (88%)	Loss: 85.035699	Cross Entropy: 0.0661	ELBO: 84.9696	Accuracy: 0.977553
Time: 025115s	Train Epoch: 04 [208640/235930] (88%)	Loss: 84.775022	Cross Entropy: 0.0660	ELBO: 84.7090	Accuracy: 0.977574
Time: 025131s	Train Epoch: 04 [209280/235930] (89%)	Loss: 84.515950	Cross Entropy: 0.0660	ELBO: 84.4499	Accuracy: 0.977580
Time: 025147s	Train Epoch: 04 [209920/235930] (89%)	Loss: 84.258494	Cross Entropy: 0.0660	ELBO: 84.1925	Accuracy: 0.977572
Time: 025163s	Train Epoch: 04 [210560/235930] (89%)	Loss: 84.002553	Cross Entropy: 0.0660	ELBO: 83.9366	Accuracy: 0.977593
Time: 025179s	Train Epoch: 04 [211200/235930] (90%)	Loss: 83.748178	Cross Entropy: 0.0660	ELBO: 83.6822	Accuracy: 0.977595
Time: 025195s	Train Epoch: 04 [211840/235930] (90%)	Loss: 83.495306	Cross Entropy: 0.0659	ELBO: 83.4294	Accuracy: 0.977601
Time: 025211s	Train Epoch: 04 [212480/235930] (90%)	Loss: 83.244058	Cross Entropy: 0.0660	ELBO: 83.1781	Accuracy: 0.977588
Time: 025227s	Train Epoch: 04 [213120/235930] (90%)	Loss: 82.994258	Cross Entropy: 0.0659	ELBO: 82.9283	Accuracy: 0.977590
Time: 025243s	Train Epoch: 04 [213760/235930] (91%)	Loss: 82.745935	Cross Entropy: 0.0659	ELBO: 82.6800	Accuracy: 0.977601
Time: 025259s	Train Epoch: 04 [214400/235930] (91%)	Loss: 82.499155	Cross Entropy: 0.0659	ELBO: 82.4332	Accuracy: 0.977589
Time: 025275s	Train Epoch: 04 [215040/235930] (91%)	Loss: 82.253820	Cross Entropy: 0.0659	ELBO: 82.1879	Accuracy: 0.977581
Time: 025290s	Train Epoch: 04 [215680/235930] (91%)	Loss: 82.009921	Cross Entropy: 0.0659	ELBO: 81.9440	Accuracy: 0.977587
Time: 025306s	Train Epoch: 04 [216320/235930] (92%)	Loss: 81.767504	Cross Entropy: 0.0659	ELBO: 81.7016	Accuracy: 0.977575
Time: 025322s	Train Epoch: 04 [216960/235930] (92%)	Loss: 81.526569	Cross Entropy: 0.0660	ELBO: 81.4606	Accuracy: 0.977553
Time: 025338s	Train Epoch: 04 [217600/235930] (92%)	Loss: 81.287028	Cross Entropy: 0.0661	ELBO: 81.2210	Accuracy: 0.977551
Time: 025354s	Train Epoch: 04 [218240/235930] (93%)	Loss: 81.048774	Cross Entropy: 0.0660	ELBO: 80.9828	Accuracy: 0.977580
Time: 025370s	Train Epoch: 04 [218880/235930] (93%)	Loss: 80.811921	Cross Entropy: 0.0659	ELBO: 80.7460	Accuracy: 0.977595
Time: 025386s	Train Epoch: 04 [219520/235930] (93%)	Loss: 80.576513	Cross Entropy: 0.0659	ELBO: 80.5106	Accuracy: 0.977601
Time: 025402s	Train Epoch: 04 [220160/235930] (93%)	Loss: 80.342562	Cross Entropy: 0.0660	ELBO: 80.2765	Accuracy: 0.977594
Time: 025418s	Train Epoch: 04 [220800/235930] (94%)	Loss: 80.109914	Cross Entropy: 0.0661	ELBO: 80.0438	Accuracy: 0.977582
Time: 025434s	Train Epoch: 04 [221440/235930] (94%)	Loss: 79.878569	Cross Entropy: 0.0661	ELBO: 79.8125	Accuracy: 0.977579
Time: 025450s	Train Epoch: 04 [222080/235930] (94%)	Loss: 79.648561	Cross Entropy: 0.0661	ELBO: 79.5825	Accuracy: 0.977571
Time: 025466s	Train Epoch: 04 [222720/235930] (94%)	Loss: 79.419865	Cross Entropy: 0.0661	ELBO: 79.3538	Accuracy: 0.977568
Time: 025482s	Train Epoch: 04 [223360/235930] (95%)	Loss: 79.192406	Cross Entropy: 0.0660	ELBO: 79.1264	Accuracy: 0.977592
Time: 025497s	Train Epoch: 04 [224000/235930] (95%)	Loss: 78.966299	Cross Entropy: 0.0659	ELBO: 78.9004	Accuracy: 0.977603
Time: 025513s	Train Epoch: 04 [224640/235930] (95%)	Loss: 78.741448	Cross Entropy: 0.0659	ELBO: 78.6756	Accuracy: 0.977618
Time: 025529s	Train Epoch: 04 [225280/235930] (95%)	Loss: 78.517932	Cross Entropy: 0.0659	ELBO: 78.4521	Accuracy: 0.977623
Time: 025545s	Train Epoch: 04 [225920/235930] (96%)	Loss: 78.295620	Cross Entropy: 0.0658	ELBO: 78.2298	Accuracy: 0.977647
Time: 025561s	Train Epoch: 04 [226560/235930] (96%)	Loss: 78.074624	Cross Entropy: 0.0658	ELBO: 78.0088	Accuracy: 0.977648
Time: 025577s	Train Epoch: 04 [227200/235930] (96%)	Loss: 77.854850	Cross Entropy: 0.0658	ELBO: 77.7891	Accuracy: 0.977672
Time: 025593s	Train Epoch: 04 [227840/235930] (97%)	Loss: 77.636295	Cross Entropy: 0.0657	ELBO: 77.5706	Accuracy: 0.977673
Time: 025609s	Train Epoch: 04 [228480/235930] (97%)	Loss: 77.419063	Cross Entropy: 0.0658	ELBO: 77.3533	Accuracy: 0.977665
Time: 025625s	Train Epoch: 04 [229120/235930] (97%)	Loss: 77.202968	Cross Entropy: 0.0657	ELBO: 77.1372	Accuracy: 0.977671
Time: 025640s	Train Epoch: 04 [229760/235930] (97%)	Loss: 76.988086	Cross Entropy: 0.0657	ELBO: 76.9224	Accuracy: 0.977681
Time: 025656s	Train Epoch: 04 [230400/235930] (98%)	Loss: 76.774453	Cross Entropy: 0.0658	ELBO: 76.7087	Accuracy: 0.977665
Time: 025672s	Train Epoch: 04 [231040/235930] (98%)	Loss: 76.562016	Cross Entropy: 0.0658	ELBO: 76.4962	Accuracy: 0.977649
Time: 025688s	Train Epoch: 04 [231680/235930] (98%)	Loss: 76.350649	Cross Entropy: 0.0658	ELBO: 76.2849	Accuracy: 0.977672
Time: 025704s	Train Epoch: 04 [232320/235930] (98%)	Loss: 76.140574	Cross Entropy: 0.0658	ELBO: 76.0747	Accuracy: 0.977643
Time: 025720s	Train Epoch: 04 [232960/235930] (99%)	Loss: 75.931605	Cross Entropy: 0.0659	ELBO: 75.8657	Accuracy: 0.977644
Time: 025736s	Train Epoch: 04 [233600/235930] (99%)	Loss: 75.723752	Cross Entropy: 0.0659	ELBO: 75.6579	Accuracy: 0.977637
Time: 025752s	Train Epoch: 04 [234240/235930] (99%)	Loss: 75.516982	Cross Entropy: 0.0658	ELBO: 75.4512	Accuracy: 0.977660
Time: 025768s	Train Epoch: 04 [234880/235930] (100%)	Loss: 75.311387	Cross Entropy: 0.0658	ELBO: 75.2456	Accuracy: 0.977657
Time: 025784s	Train Epoch: 04 [235520/235930] (100%)	Loss: 75.106897	Cross Entropy: 0.0658	ELBO: 75.0411	Accuracy: 0.977649

Epoch: 4	Training Loss: 74.964388	Training Cross Entropy: 0.065750	Training ELBO: 74.898635	Training Accuracy: 0.977656
Validation Loss: 299.441690	Validation Cross Entropy: 0.073497	Validation ELBO: 299.368194	Validation Accuracy: 0.975266

Time: 026581s	Train Epoch: 05 [000640/235930] (0%)	Loss: 27574.431039	Cross Entropy: 0.0382	ELBO: 27574.3922	Accuracy: 0.985938
Time: 026597s	Train Epoch: 05 [001280/235930] (1%)	Loss: 13800.711662	Cross Entropy: 0.0536	ELBO: 13800.6578	Accuracy: 0.982031
Time: 026612s	Train Epoch: 05 [001920/235930] (1%)	Loss: 9200.514927	Cross Entropy: 0.0674	ELBO: 9200.4473	Accuracy: 0.975521
Time: 026628s	Train Epoch: 05 [002560/235930] (1%)	Loss: 6900.399165	Cross Entropy: 0.0635	ELBO: 6900.3355	Accuracy: 0.977344
Time: 026643s	Train Epoch: 05 [003200/235930] (1%)	Loss: 5520.329377	Cross Entropy: 0.0609	ELBO: 5520.2684	Accuracy: 0.978438
Time: 026659s	Train Epoch: 05 [003840/235930] (2%)	Loss: 4600.288520	Cross Entropy: 0.0648	ELBO: 4600.2236	Accuracy: 0.977865
Time: 026675s	Train Epoch: 05 [004480/235930] (2%)	Loss: 3943.110619	Cross Entropy: 0.0617	ELBO: 3943.0488	Accuracy: 0.979018
Time: 026691s	Train Epoch: 05 [005120/235930] (2%)	Loss: 3450.226537	Cross Entropy: 0.0587	ELBO: 3450.1677	Accuracy: 0.979883
Time: 026706s	Train Epoch: 05 [005760/235930] (2%)	Loss: 3066.874783	Cross Entropy: 0.0589	ELBO: 3066.8158	Accuracy: 0.979861
Time: 026722s	Train Epoch: 05 [006400/235930] (3%)	Loss: 2760.194614	Cross Entropy: 0.0604	ELBO: 2760.1342	Accuracy: 0.979688
Time: 026738s	Train Epoch: 05 [007040/235930] (3%)	Loss: 2509.271280	Cross Entropy: 0.0583	ELBO: 2509.2129	Accuracy: 0.980256
Time: 026754s	Train Epoch: 05 [007680/235930] (3%)	Loss: 2300.170774	Cross Entropy: 0.0589	ELBO: 2300.1118	Accuracy: 0.979948
Time: 026770s	Train Epoch: 05 [008320/235930] (4%)	Loss: 2123.238522	Cross Entropy: 0.0583	ELBO: 2123.1801	Accuracy: 0.980288
Time: 026786s	Train Epoch: 05 [008960/235930] (4%)	Loss: 1971.583065	Cross Entropy: 0.0586	ELBO: 1971.5244	Accuracy: 0.979799
Time: 026802s	Train Epoch: 05 [009600/235930] (4%)	Loss: 1840.147683	Cross Entropy: 0.0582	ELBO: 1840.0895	Accuracy: 0.980000
Time: 026818s	Train Epoch: 05 [010240/235930] (4%)	Loss: 1725.141277	Cross Entropy: 0.0574	ELBO: 1725.0839	Accuracy: 0.980273
Time: 026833s	Train Epoch: 05 [010880/235930] (5%)	Loss: 1623.664358	Cross Entropy: 0.0560	ELBO: 1623.6083	Accuracy: 0.980974
Time: 026849s	Train Epoch: 05 [011520/235930] (5%)	Loss: 1533.465378	Cross Entropy: 0.0575	ELBO: 1533.4079	Accuracy: 0.980729
Time: 026865s	Train Epoch: 05 [012160/235930] (5%)	Loss: 1452.759570	Cross Entropy: 0.0573	ELBO: 1452.7022	Accuracy: 0.980592
Time: 026881s	Train Epoch: 05 [012800/235930] (5%)	Loss: 1380.124096	Cross Entropy: 0.0570	ELBO: 1380.0671	Accuracy: 0.980625
Time: 026897s	Train Epoch: 05 [013440/235930] (6%)	Loss: 1314.407103	Cross Entropy: 0.0575	ELBO: 1314.3496	Accuracy: 0.980506
Time: 026913s	Train Epoch: 05 [014080/235930] (6%)	Loss: 1254.664544	Cross Entropy: 0.0581	ELBO: 1254.6064	Accuracy: 0.980327
Time: 026929s	Train Epoch: 05 [014720/235930] (6%)	Loss: 1200.115756	Cross Entropy: 0.0574	ELBO: 1200.0583	Accuracy: 0.980299
Time: 026945s	Train Epoch: 05 [015360/235930] (7%)	Loss: 1150.112854	Cross Entropy: 0.0569	ELBO: 1150.0559	Accuracy: 0.980404
Time: 026961s	Train Epoch: 05 [016000/235930] (7%)	Loss: 1104.110523	Cross Entropy: 0.0568	ELBO: 1104.0537	Accuracy: 0.980313
Time: 026977s	Train Epoch: 05 [016640/235930] (7%)	Loss: 1061.646504	Cross Entropy: 0.0564	ELBO: 1061.5901	Accuracy: 0.980589
Time: 026992s	Train Epoch: 05 [017280/235930] (7%)	Loss: 1022.328400	Cross Entropy: 0.0565	ELBO: 1022.2719	Accuracy: 0.980498
Time: 027008s	Train Epoch: 05 [017920/235930] (8%)	Loss: 985.819675	Cross Entropy: 0.0574	ELBO: 985.7622	Accuracy: 0.980134
Time: 027024s	Train Epoch: 05 [018560/235930] (8%)	Loss: 951.827643	Cross Entropy: 0.0572	ELBO: 951.7704	Accuracy: 0.980280
Time: 027040s	Train Epoch: 05 [019200/235930] (8%)	Loss: 920.102327	Cross Entropy: 0.0576	ELBO: 920.0447	Accuracy: 0.980208
Time: 027056s	Train Epoch: 05 [019840/235930] (8%)	Loss: 890.422969	Cross Entropy: 0.0571	ELBO: 890.3659	Accuracy: 0.980393
Time: 027072s	Train Epoch: 05 [020480/235930] (9%)	Loss: 862.599058	Cross Entropy: 0.0571	ELBO: 862.5419	Accuracy: 0.980225
Time: 027087s	Train Epoch: 05 [021120/235930] (9%)	Loss: 836.461238	Cross Entropy: 0.0569	ELBO: 836.4043	Accuracy: 0.980350
Time: 027103s	Train Epoch: 05 [021760/235930] (9%)	Loss: 811.860296	Cross Entropy: 0.0561	ELBO: 811.8042	Accuracy: 0.980699
Time: 027119s	Train Epoch: 05 [022400/235930] (9%)	Loss: 788.665902	Cross Entropy: 0.0561	ELBO: 788.6098	Accuracy: 0.980580
Time: 027135s	Train Epoch: 05 [023040/235930] (10%)	Loss: 766.760142	Cross Entropy: 0.0562	ELBO: 766.7039	Accuracy: 0.980512
Time: 027151s	Train Epoch: 05 [023680/235930] (10%)	Loss: 746.037902	Cross Entropy: 0.0557	ELBO: 745.9822	Accuracy: 0.980828
Time: 027167s	Train Epoch: 05 [024320/235930] (10%)	Loss: 726.407119	Cross Entropy: 0.0560	ELBO: 726.3511	Accuracy: 0.980757
Time: 027183s	Train Epoch: 05 [024960/235930] (11%)	Loss: 707.782828	Cross Entropy: 0.0561	ELBO: 707.7267	Accuracy: 0.980849
Time: 027199s	Train Epoch: 05 [025600/235930] (11%)	Loss: 690.089637	Cross Entropy: 0.0561	ELBO: 690.0335	Accuracy: 0.980859
Time: 027214s	Train Epoch: 05 [026240/235930] (11%)	Loss: 673.259703	Cross Entropy: 0.0562	ELBO: 673.2035	Accuracy: 0.980755
Time: 027230s	Train Epoch: 05 [026880/235930] (11%)	Loss: 657.230954	Cross Entropy: 0.0561	ELBO: 657.1748	Accuracy: 0.980766
Time: 027246s	Train Epoch: 05 [027520/235930] (12%)	Loss: 641.948367	Cross Entropy: 0.0567	ELBO: 641.8917	Accuracy: 0.980632
Time: 027262s	Train Epoch: 05 [028160/235930] (12%)	Loss: 627.359954	Cross Entropy: 0.0567	ELBO: 627.3032	Accuracy: 0.980682
Time: 027278s	Train Epoch: 05 [028800/235930] (12%)	Loss: 613.419589	Cross Entropy: 0.0564	ELBO: 613.3632	Accuracy: 0.980868
Time: 027293s	Train Epoch: 05 [029440/235930] (12%)	Loss: 600.085939	Cross Entropy: 0.0568	ELBO: 600.0292	Accuracy: 0.980707
Time: 027309s	Train Epoch: 05 [030080/235930] (13%)	Loss: 587.319192	Cross Entropy: 0.0566	ELBO: 587.2626	Accuracy: 0.980785
Time: 027325s	Train Epoch: 05 [030720/235930] (13%)	Loss: 575.084206	Cross Entropy: 0.0562	ELBO: 575.0280	Accuracy: 0.980827
Time: 027341s	Train Epoch: 05 [031360/235930] (13%)	Loss: 563.348932	Cross Entropy: 0.0562	ELBO: 563.2927	Accuracy: 0.980804
Time: 027357s	Train Epoch: 05 [032000/235930] (14%)	Loss: 552.083766	Cross Entropy: 0.0569	ELBO: 552.0268	Accuracy: 0.980531
Time: 027373s	Train Epoch: 05 [032640/235930] (14%)	Loss: 541.259997	Cross Entropy: 0.0572	ELBO: 541.2028	Accuracy: 0.980362
Time: 027388s	Train Epoch: 05 [033280/235930] (14%)	Loss: 530.852195	Cross Entropy: 0.0571	ELBO: 530.7950	Accuracy: 0.980349
Time: 027404s	Train Epoch: 05 [033920/235930] (14%)	Loss: 520.837391	Cross Entropy: 0.0573	ELBO: 520.7800	Accuracy: 0.980277
Time: 027420s	Train Epoch: 05 [034560/235930] (15%)	Loss: 511.193047	Cross Entropy: 0.0571	ELBO: 511.1360	Accuracy: 0.980353
Time: 027436s	Train Epoch: 05 [035200/235930] (15%)	Loss: 501.899929	Cross Entropy: 0.0573	ELBO: 501.8426	Accuracy: 0.980284
Time: 027452s	Train Epoch: 05 [035840/235930] (15%)	Loss: 492.938542	Cross Entropy: 0.0574	ELBO: 492.8811	Accuracy: 0.980218
Time: 027467s	Train Epoch: 05 [036480/235930] (15%)	Loss: 484.291424	Cross Entropy: 0.0573	ELBO: 484.2341	Accuracy: 0.980318
Time: 027483s	Train Epoch: 05 [037120/235930] (16%)	Loss: 475.942437	Cross Entropy: 0.0572	ELBO: 475.8852	Accuracy: 0.980334
Time: 027499s	Train Epoch: 05 [037760/235930] (16%)	Loss: 467.877068	Cross Entropy: 0.0577	ELBO: 467.8194	Accuracy: 0.980191
Time: 027515s	Train Epoch: 05 [038400/235930] (16%)	Loss: 460.080004	Cross Entropy: 0.0576	ELBO: 460.0224	Accuracy: 0.980104
Time: 027531s	Train Epoch: 05 [039040/235930] (17%)	Loss: 452.538538	Cross Entropy: 0.0575	ELBO: 452.4810	Accuracy: 0.980200
Time: 027547s	Train Epoch: 05 [039680/235930] (17%)	Loss: 445.240530	Cross Entropy: 0.0576	ELBO: 445.1829	Accuracy: 0.980242
Time: 027563s	Train Epoch: 05 [040320/235930] (17%)	Loss: 438.174292	Cross Entropy: 0.0577	ELBO: 438.1165	Accuracy: 0.980159
Time: 027578s	Train Epoch: 05 [040960/235930] (17%)	Loss: 431.328744	Cross Entropy: 0.0578	ELBO: 431.2710	Accuracy: 0.980151
Time: 027594s	Train Epoch: 05 [041600/235930] (18%)	Loss: 424.693807	Cross Entropy: 0.0578	ELBO: 424.6360	Accuracy: 0.980192
Time: 027610s	Train Epoch: 05 [042240/235930] (18%)	Loss: 418.259931	Cross Entropy: 0.0578	ELBO: 418.2021	Accuracy: 0.980161
Time: 027626s	Train Epoch: 05 [042880/235930] (18%)	Loss: 412.018436	Cross Entropy: 0.0581	ELBO: 411.9603	Accuracy: 0.979991
Time: 027641s	Train Epoch: 05 [043520/235930] (18%)	Loss: 405.960371	Cross Entropy: 0.0583	ELBO: 405.9021	Accuracy: 0.979986
Time: 027657s	Train Epoch: 05 [044160/235930] (19%)	Loss: 400.078350	Cross Entropy: 0.0589	ELBO: 400.0194	Accuracy: 0.979937
Time: 027673s	Train Epoch: 05 [044800/235930] (19%)	Loss: 394.363900	Cross Entropy: 0.0590	ELBO: 394.3049	Accuracy: 0.980000
Time: 027689s	Train Epoch: 05 [045440/235930] (19%)	Loss: 388.810114	Cross Entropy: 0.0588	ELBO: 388.7513	Accuracy: 0.980040
Time: 027705s	Train Epoch: 05 [046080/235930] (20%)	Loss: 383.411288	Cross Entropy: 0.0593	ELBO: 383.3520	Accuracy: 0.979948
Time: 027721s	Train Epoch: 05 [046720/235930] (20%)	Loss: 378.159931	Cross Entropy: 0.0593	ELBO: 378.1006	Accuracy: 0.979902
Time: 027736s	Train Epoch: 05 [047360/235930] (20%)	Loss: 373.050565	Cross Entropy: 0.0594	ELBO: 372.9911	Accuracy: 0.979920
Time: 027752s	Train Epoch: 05 [048000/235930] (20%)	Loss: 368.077242	Cross Entropy: 0.0593	ELBO: 368.0179	Accuracy: 0.980021
Time: 027768s	Train Epoch: 05 [048640/235930] (21%)	Loss: 363.235017	Cross Entropy: 0.0595	ELBO: 363.1756	Accuracy: 0.979914
Time: 027784s	Train Epoch: 05 [049280/235930] (21%)	Loss: 358.518180	Cross Entropy: 0.0592	ELBO: 358.4590	Accuracy: 0.980012
Time: 027800s	Train Epoch: 05 [049920/235930] (21%)	Loss: 353.922569	Cross Entropy: 0.0592	ELBO: 353.8634	Accuracy: 0.980008
Time: 027815s	Train Epoch: 05 [050560/235930] (21%)	Loss: 349.443186	Cross Entropy: 0.0591	ELBO: 349.3841	Accuracy: 0.980004
Time: 027831s	Train Epoch: 05 [051200/235930] (22%)	Loss: 345.075728	Cross Entropy: 0.0589	ELBO: 345.0168	Accuracy: 0.980078
Time: 027847s	Train Epoch: 05 [051840/235930] (22%)	Loss: 340.816152	Cross Entropy: 0.0588	ELBO: 340.7573	Accuracy: 0.980093
Time: 027863s	Train Epoch: 05 [052480/235930] (22%)	Loss: 336.660757	Cross Entropy: 0.0590	ELBO: 336.6017	Accuracy: 0.980069
Time: 027879s	Train Epoch: 05 [053120/235930] (23%)	Loss: 332.605250	Cross Entropy: 0.0590	ELBO: 332.5463	Accuracy: 0.980083
Time: 027895s	Train Epoch: 05 [053760/235930] (23%)	Loss: 328.646593	Cross Entropy: 0.0592	ELBO: 328.5874	Accuracy: 0.980097
Time: 027910s	Train Epoch: 05 [054400/235930] (23%)	Loss: 324.780933	Cross Entropy: 0.0593	ELBO: 324.7217	Accuracy: 0.980110
Time: 027926s	Train Epoch: 05 [055040/235930] (23%)	Loss: 321.005050	Cross Entropy: 0.0592	ELBO: 320.9458	Accuracy: 0.980087
Time: 027942s	Train Epoch: 05 [055680/235930] (24%)	Loss: 317.315864	Cross Entropy: 0.0591	ELBO: 317.2568	Accuracy: 0.980154
Time: 027958s	Train Epoch: 05 [056320/235930] (24%)	Loss: 313.710789	Cross Entropy: 0.0592	ELBO: 313.6516	Accuracy: 0.980131
Time: 027973s	Train Epoch: 05 [056960/235930] (24%)	Loss: 310.186712	Cross Entropy: 0.0593	ELBO: 310.1274	Accuracy: 0.980039
Time: 027989s	Train Epoch: 05 [057600/235930] (24%)	Loss: 306.741150	Cross Entropy: 0.0596	ELBO: 306.6816	Accuracy: 0.979931
Time: 028005s	Train Epoch: 05 [058240/235930] (25%)	Loss: 303.371108	Cross Entropy: 0.0597	ELBO: 303.3114	Accuracy: 0.979894
Time: 028021s	Train Epoch: 05 [058880/235930] (25%)	Loss: 300.074081	Cross Entropy: 0.0595	ELBO: 300.0146	Accuracy: 0.979976
Time: 028037s	Train Epoch: 05 [059520/235930] (25%)	Loss: 296.848113	Cross Entropy: 0.0595	ELBO: 296.7886	Accuracy: 0.980040
Time: 028053s	Train Epoch: 05 [060160/235930] (25%)	Loss: 293.690875	Cross Entropy: 0.0596	ELBO: 293.6313	Accuracy: 0.979987
Time: 028069s	Train Epoch: 05 [060800/235930] (26%)	Loss: 290.599790	Cross Entropy: 0.0593	ELBO: 290.5404	Accuracy: 0.980132
Time: 028084s	Train Epoch: 05 [061440/235930] (26%)	Loss: 287.573331	Cross Entropy: 0.0593	ELBO: 287.5140	Accuracy: 0.980143
Time: 028100s	Train Epoch: 05 [062080/235930] (26%)	Loss: 284.609318	Cross Entropy: 0.0594	ELBO: 284.5499	Accuracy: 0.980155
Time: 028116s	Train Epoch: 05 [062720/235930] (27%)	Loss: 281.705781	Cross Entropy: 0.0594	ELBO: 281.6463	Accuracy: 0.980118
Time: 028132s	Train Epoch: 05 [063360/235930] (27%)	Loss: 278.860828	Cross Entropy: 0.0594	ELBO: 278.8014	Accuracy: 0.980082
Time: 028148s	Train Epoch: 05 [064000/235930] (27%)	Loss: 276.072783	Cross Entropy: 0.0594	ELBO: 276.0134	Accuracy: 0.980063
Time: 028164s	Train Epoch: 05 [064640/235930] (27%)	Loss: 273.339807	Cross Entropy: 0.0592	ELBO: 273.2806	Accuracy: 0.980167
Time: 028179s	Train Epoch: 05 [065280/235930] (28%)	Loss: 270.660392	Cross Entropy: 0.0590	ELBO: 270.6014	Accuracy: 0.980254
Time: 028195s	Train Epoch: 05 [065920/235930] (28%)	Loss: 268.032963	Cross Entropy: 0.0588	ELBO: 267.9742	Accuracy: 0.980340
Time: 028211s	Train Epoch: 05 [066560/235930] (28%)	Loss: 265.456515	Cross Entropy: 0.0590	ELBO: 265.3975	Accuracy: 0.980243
Time: 028227s	Train Epoch: 05 [067200/235930] (28%)	Loss: 262.929138	Cross Entropy: 0.0592	ELBO: 262.8699	Accuracy: 0.980193
Time: 028243s	Train Epoch: 05 [067840/235930] (29%)	Loss: 260.449238	Cross Entropy: 0.0592	ELBO: 260.3900	Accuracy: 0.980218
Time: 028258s	Train Epoch: 05 [068480/235930] (29%)	Loss: 258.015710	Cross Entropy: 0.0592	ELBO: 257.9565	Accuracy: 0.980184
Time: 028274s	Train Epoch: 05 [069120/235930] (29%)	Loss: 255.627178	Cross Entropy: 0.0592	ELBO: 255.5680	Accuracy: 0.980165
Time: 028290s	Train Epoch: 05 [069760/235930] (30%)	Loss: 253.282272	Cross Entropy: 0.0589	ELBO: 253.2233	Accuracy: 0.980261
Time: 028306s	Train Epoch: 05 [070400/235930] (30%)	Loss: 250.980294	Cross Entropy: 0.0590	ELBO: 250.9213	Accuracy: 0.980213
Time: 028322s	Train Epoch: 05 [071040/235930] (30%)	Loss: 248.719484	Cross Entropy: 0.0587	ELBO: 248.6607	Accuracy: 0.980293
Time: 028338s	Train Epoch: 05 [071680/235930] (30%)	Loss: 246.499229	Cross Entropy: 0.0587	ELBO: 246.4406	Accuracy: 0.980357
Time: 028353s	Train Epoch: 05 [072320/235930] (31%)	Loss: 244.318324	Cross Entropy: 0.0587	ELBO: 244.2597	Accuracy: 0.980351
Time: 028369s	Train Epoch: 05 [072960/235930] (31%)	Loss: 242.175602	Cross Entropy: 0.0586	ELBO: 242.1170	Accuracy: 0.980387
Time: 028385s	Train Epoch: 05 [073600/235930] (31%)	Loss: 240.070434	Cross Entropy: 0.0588	ELBO: 240.0117	Accuracy: 0.980299
Time: 028401s	Train Epoch: 05 [074240/235930] (31%)	Loss: 238.001363	Cross Entropy: 0.0588	ELBO: 237.9426	Accuracy: 0.980348
Time: 028417s	Train Epoch: 05 [074880/235930] (32%)	Loss: 235.967695	Cross Entropy: 0.0588	ELBO: 235.9089	Accuracy: 0.980342
Time: 028433s	Train Epoch: 05 [075520/235930] (32%)	Loss: 233.968496	Cross Entropy: 0.0588	ELBO: 233.9097	Accuracy: 0.980350
Time: 028448s	Train Epoch: 05 [076160/235930] (32%)	Loss: 232.002905	Cross Entropy: 0.0588	ELBO: 231.9440	Accuracy: 0.980331
Time: 028464s	Train Epoch: 05 [076800/235930] (33%)	Loss: 230.070197	Cross Entropy: 0.0590	ELBO: 230.0112	Accuracy: 0.980299
Time: 028480s	Train Epoch: 05 [077440/235930] (33%)	Loss: 228.169336	Cross Entropy: 0.0591	ELBO: 228.1103	Accuracy: 0.980269
Time: 028496s	Train Epoch: 05 [078080/235930] (33%)	Loss: 226.299688	Cross Entropy: 0.0592	ELBO: 226.2405	Accuracy: 0.980225
Time: 028512s	Train Epoch: 05 [078720/235930] (33%)	Loss: 224.460283	Cross Entropy: 0.0591	ELBO: 224.4012	Accuracy: 0.980272
Time: 028527s	Train Epoch: 05 [079360/235930] (34%)	Loss: 222.650639	Cross Entropy: 0.0592	ELBO: 222.5915	Accuracy: 0.980242
Time: 028543s	Train Epoch: 05 [080000/235930] (34%)	Loss: 220.869740	Cross Entropy: 0.0590	ELBO: 220.8107	Accuracy: 0.980313
